post,normalized claim
"नीतीश सबके हैं- भाजपा से गठबंधन टूटते ही बदला पोस्टर। 5 साल बाद फिर से नीतीश कुमार की पार्टी जदयू और भाजपा के बीच गठबंधन टूट गया है। राजद, कांग्रेस और वामदलों ने नीतीश सरकार को समर्थन देने के लिए पत्र तैयार कर लिया है।","नीतीश सबके हैं- भाजपा से गठबंधन टूटते ही बदला पोस्टर। 5 साल बाद फिर से नीतीश कुमार की पार्टी जदयू और भाजपा के बीच गठबंधन टूट गया है। राजद, कांग्रेस और वामदलों ने नीतीश सरकार को समर्थन देने के लिए पत्र तैयार कर लिया है।"
"#RubenTheCat “I am very proud to finally announce that I have become the first cat to be awarded honours by Her Majesty Queen Elizabeth II. Love, Sir Ruben J. Cat, KBE","#RubenTheCat “I am very proud to finally announce that I have become the first cat to be awarded honours by Her Majesty Queen Elizabeth II. Love, Sir Ruben J. Cat, KBE"
अत्यंत दुर्लभ दोमुखी सफेद सर्प जिसके दर्शन मात्र से ही धन मे वृद्धि होने लगती है ॐ,अत्यंत दुर्लभ दोमुखी सफेद सर्प जिसके दर्शन मात्र से ही धन मे वृद्धि होने लगती है ॐ
"हर गुंडे अपराधी का संबंध भाजपा से है, कानपुर पुलिस कर्मियों की मौत का मुख्य अभियुक्त विकास दुबे भाजपा नेता के साथ।","हर गुंडे अपराधी का संबंध भाजपा से है, कानपुर पुलिस कर्मियों की मौत का मुख्य अभियुक्त विकास दुबे भाजपा नेता के साथ"
"क्रांतिकारी जय भीम साथियों, जय भीम का नारा दुनिया में सबसे प्यारा, दुनिया में सबसे सुंदर। बाबा साहेब डॉ भीमराव अंबेडकर। मेरे बाबा साहेब का बचपन का फोटो।",भीमराव आंबेडकर यांचे लहानपणीचे छायाचित्र
देश की महिलाओं को आत्मनिर्भर बनाने के लिए सरकार ने फ़्री सिलाई मशीन योजना शुरू की है। इस योजना का लाभार्थ महिलायें ऑनलाइन आवेदन कर कि प्राप्त कर सकती है। इसके लिए अधिकारिक वेबसाइट www.india.gov.in पर आवेदन करना होगा। उसके पश्चात् पीडीएफ का प्रिंट आउट लेकर फार्म को संबंधित ऑफ़िस में जमा करवाना होगा। इसके पश्चात् सरकार द्वारा प्रार्थी को दे दी जाएगी।,देश की महिलाओं को आत्मनिर्भर बनाने के लिए सरकार ने फ़्री सिलाई मशीन योजना शुरू की है
"सानिया मिर्जा बनी देश की पहली मुस्लिम फाइटर पायलट। उत्तरप्रदेश के मिर्जापुर की रहने वाली है सानिया, पिता है टीवी मैकेनिक। बहुत बहुत बधाई।",उत्तर प्रदेश ची सानिया मिर्झा हि फायटर पायलट झाली
प्‍यार देने से बेटा ब‍िगड़े! भेद देने से नारी! लोभ देने से नोकर बिगड़े! धोका देने से यारी! नोटबन्‍दी से किसान GST से व्‍यापारी! और भाजपा को वोट देने से देश बिगड़े! ये बात जनहित में जारी!! धन्‍यवाद,यशवंत सिन्हा यांचे व्हायरल ट्विट
चलो ईबे किसे का तो ज़मीर जीवे ह ।। देर त सही पर कही कति सही,शत्रुघ्न सिन्हा ने सरकार विरोधी ट्विट केले
लालकृष्ण अडवाणी जी यांची मुलगी प्रतिभा अडवाणी यांनी काँग्रेस मध्ये पदार्पण केले,लालकृष्ण आडवाणी जी की सुपुत्री प्रतिभा आडवाणी कांग्रेस में शामिल....!!
उद्धव का बेडा गर्ग करने के बाद नाचते हुए संजय राउत।,उद्धव का बेडा गर्ग करने के बाद नाचते हुए संजय राउत।
विकास के नये सोपान तय करते हुये मध्य प्रदेश की सरकार।,विकास के नये सोपान तय करते हुये मध्य प्रदेश की सरकार
हिन्दू ह्रदय सम्राट योगी आदित्यनाथ जी का आज का योग दर्शन। योगी जी को पहली बार टीशर्ट में देखा है।,टीशर्ट घालून योग करतानाचे योगी आदित्यनाथ यांचे व्हायरल छायाचित्र
पाकिस्तान में भारी बारिश। शहर में बाढ़ आई हुई है। वह नवीनतम तकनीक का उपयोग कर पानी निकाल रहे हैं। पूरी दुनिया हैरान है इस तकनीक को देखकर,पाकिस्तानात मुसळधार पाऊस. शहरात पूरस्थिती आहे. अत्याधुनिक तंत्रज्ञानाचा वापर करून ते पाणी काढत आहेत. हे तंत्रज्ञान पाहून संपूर्ण जग हादरले आहे
कोल्हापूर पोटनिवडणुकीत कॉंग्रेसच्या विजयी उमेदवाराची भव्य मिरवणूक.. जय महाविकास आघाडी।,कोल्हापूर पोटनिवडणुकीत कॉंग्रेसच्या विजयी उमेदवाराची भव्य मिरवणूक.. जय महाविकास आघाडी।
Today morning at Borivali railway station,मुंबईच्या लोकल ट्रेन मध्ये गर्दी
"अरे ऋषि तो मोदी विरोधी निकले, भारत को सही दिशा और दशा देने कमज़ोर गिरती अर्थव्यवस्था को सुधारने के लिए मनमोहन सिंह जैसे प्रधानमंत्री की आवश्यकता है:-ऋषि सुनक।","अरे ऋषि तो मोदी विरोधी निकले, भारत को सही दिशा और दशा देने कमज़ोर गिरती अर्थव्यवस्था को सुधारने के लिए मनमोहन सिंह जैसे प्रधानमंत्री की आवश्यकता है:-ऋषि सुनक।"
"महत्वपूर्ण सूचना.. यदि किसी करीबी, रिश्तेदार, या परिचित के परिवार में हाल ही में कोई मृत्यु हुई हो। चाहे वह किसी भी कारण, बीमारी या कोविड -19 से हो गई हो, तो उनके बैंक से खाता विवरण देखने को कहें। यदि पासबुक की प्रविष्टि में (01-04 से 31-03) 12/- या रु 330/- काटा गया हो तो इसे चिह्नित करें और मृतक के परिजनों से कहें कि बैंक में जाकर दो लाख रुपए के लिए बीमा राशि का दावा प्रस्तुत करें। आप सभी से विनम्र आग्रह है कि यदि आपके आसपास ऐसी घटना हुई हो तो तुरंत पीड़ित परिवार अथवा उनके परिजनों को अवश्य सूचित करें। वर्ष 2015 में, भारत सरकार ने सभी बैंकों के बचत खाताधारकों को दो सस्ती बीमा योजनाएं प्रदान की थी। प्रधानमंत्री जीवन ज्योति बीमा योजना (PMJJBY) 330/- रुपये में और प्रधानमंत्री स्वास्थ्य सुरक्षा बीमा योजना (PMSBY) 12/- में। हममें से अधिकांश लोगों ने इस फॉर्म को भरा था। जिसका वार्षिक प्रीमियम हमारे बचत खाते से प्रतिवर्ष कटता है। इस संदेश को प्रसारित करने में सहयोग करें। हो सकता है कि आपके इस प्रयास से किसी परिवार को दो लाख रुपयों की मदद मिल जाए।",कॉरोन किंवा अन्य कुठल्या कारणांनी मृत्यू झाल्यास PMJJBY किंवा PMSBY मध्ये क्लेम केल्यास मृतक व्यक्तीच्या नातेवाईकांना २ लाख रुपये मिळतील
"#यहउर्फीजावेद है, #जावेदअख्तर की पोती. #मुंबईएयरपोर्टपरइसकापहनावादेखिए जावेद अख्तर #शरियत और डर की बात करता है और ज्ञान देता फिरता है। बाकी उर्फी पूरा #पाकिस्तानदिखातेहुए #शरियतकोचुनौतीदेरहीहैं 🤭🙄🙄 #तालिबानीचाहकलोगबताओ, #इसकोशरियाकानूनकेअनुसारक्यासजाबनतीहैं #पोस्टकेलिएक्षमाचाहतेहै🙏🙏",उर्फी जावेद जावेद अख्तर यांच्या नात आहे
अधिकतर रेलवे लाइन मजारों की जमीन पर बनी हुई है आप देख सकते हैं कि हर हरी मजार के पास ही रेल लाइन या स्टेशन होता है। दिल्ली वक्फ बोर्ड रेलवे पर अपने कब्जे के लिए जल्द ही सुप्रीम कोर्ट में मामला दर्ज कराएगा।,वक्फ बोर्ड च्या नावाने ट्विट चा स्क्रीनशॉट
शुभ रात्रि….जय कांग्रेस विजय कांग्रेस जय कांग्रेस…भड़कते रहना रात भर अंधभक्तों अपनी अंधभक्ति में इतिहास गवाह है राजाओं ने ईस्ट इंडिया कम्पनी के आगे हाथ जोड़े और वर्तमान में केंद्र सरकार अंबानी की लुगाई के आगे हाथ जोड़ते हुए….,नरेंद्र मोदी यांचे नीता अंबानी सोबत छायाचित्र
अगर तलाक फ़ोन पर दे सकते हो। तो नमाज़ व्हाट्सप्प ग्रुप पर क्यों नहीं पढ़ लेते।,रंजन गोगोई यांनी व्हाट्सअँप ग्रुप वर नमाज वाचण्यावरून ट्विट केले
"मोदी जी की सरकार नहीं होती तो पेट्रोल का दाम आज 200 रूपये होता: मनोज तिवारी, बीजेपी नेता",पेट्रोल च्या किमतींवर भाजप चे खासदार मनोज तिवारी यांचे वक्तव्य
‘जब इस को कोरोना हुआ था तब इसके जल्द ही स्वस्थ होने के लिए मंदिरों मे आरती..यग..सुंदर काण्ड का अखंड पाठ हो रहा था…और ये ठीक होने के बाद चादर चढ़ाने हाजी अली की दरगाह गया…So sad…Boycott कौन बनेगा करोड़पति,जब इस को कोरोना हुआ था तब इसके जल्द ही स्वस्थ होने के लिए मंदिरों मे आरती..यग..सुंदर काण्ड का अखंड पाठ हो रहा था...और ये ठीक होने के बाद चादर चढ़ाने हाजी अली की दरगाह गया...
"मिटरोंन- दुखद है कि भ्रष्टाचार हमारे देश में किस कदर अपनी जड़ें जमा चुका है… भला बताओ, भ्रष्टाचारी अब इतने बेशर्म हो गए हैं कि रक्तदान के बाद बंटने वाले बिस्कुट-जूस तक नहीं छोड़ रहे हैं।",रक्तदान करण्यासाठी गेलेल्या तरुणाने बिस्कीट न मिळाल्याने पुन्हा स्वतःच्याच रक्ताची बाटली प्यायली.
"“Dont ignore please read it carefully” Hello, I. Am VARUN PULYANI director of whatsapp, this message is to inform all of our users that we have sold whatsapp to Mukesh Ambani . Reliance for 19 billion $. WhatsApp is now controlled by mukesh Ambani . If you have at least 10 contacts send this sms and logo of your whatsapp will change to a new icon with facebook’s “f” within 24 hours.Forward this message to more than 10 people to activate your new whatsapp with facebook services or else your account will be deleted from new servers.”","Hello, I. Am VARUN PULYANI director of whatsapp, this message is to inform all of our users that we have sold whatsapp to Mukesh Ambani . Reliance for 19 billion"
The world’s largest hydroelectric dam burst,The world’s largest hydroelectric dam burst
सेंधा नमक के साथ कच्ची प्याज (लाल डार्क वाली) छीलकर खाने से 15 मिनिट बाद लोग पॉजिटिव से निगेटिव हो रहे हैं ये एकदम सत्य है आप खुद करके देखे… कोरोना हो या ना हो कच्ची प्याज सेंधा नमक लगा कर रोज खाते रहें वायरस गले में ही मर जायेगा… आपको लाभ हो तो सबको शेयर जरूर करें।,मिठा सोबत कांदा खाल्ल्याने १५ मिनटात कोरोना ठीक
"कर्नाटक के बच्चों को देखकर लगता है कि नई पौध वैदिक सनातन धर्म की रक्षा के लिए सशक्त हो चुकी है। ये हम लोगों से अधिक सचेत हैं, अब हम लोगों की भूमिका केवल इतनी सी है कि हम धर्म रक्षा के लिए बच्चों को रोंके नहीं बल्कि प्रेरित करें।","कर्नाटक के बच्चों को देखकर लगता है कि नई पौध वैदिक सनातन धर्म की रक्षा के लिए सशक्त हो चुकी है। ये हम लोगों से अधिक सचेत हैं, अब हम लोगों की भूमिका केवल इतनी सी है कि हम धर्म रक्षा के लिए बच्चों को रोंके नहीं बल्कि प्रेरित करें"
साउथ मुंबइ पाययधुनी ऐरीयासे आतंकवादी पकडेगये है,साऊथ मुंबई मध्ये दहशतवादी पकडले गेले.
#असम के कांग्रेस नेता अमजात अली सेब की पेटी में हथियार और गोलियां के साथ हिरासत में। काफिरो को मारने का कर रहा था प्लान। पुलिस ने दबोचा।। इनकी पूरी तैयारी है #हिंदुओ,आसाम चे काँग्रेस नेता अमजात अली यांच्या सफरचंदाच्या पेटिट हत्यार आणि गोळ्या मिळाल्या. काफिरांना मारायचा करत होते प्लॅन. पोलिसांनी त्यांना पकडले.
TATA has launched new taxi service Cab E in Mumbai & Pune.. better alternative to Ola & Uber… TATA always helps the Nation in difficult times.. I request all of you to share this as much as possible.,TATA has launched new taxi service Cab E in Mumbai & Pune.. better alternative to Ola & Uber… TATA always helps the Nation in difficult times.. I request all of you to share this as much as possible.
इलाहाबाद की 16 वर्षीय युवती शीषा साहू ने अपनी इज्‍जत बचाने के लिए दो बलात्‍कारियों को मौत के घाट उतार दिया!,इलाहाबाद की 16 वर्षीय युवती शीषा साहू ने अपनी इज्‍जत बचाने के लिए दो बलात्‍कारियों को मौत के घाट उतार दिया
हरियाणा में पेट्रोल पम्प फूककर फरार ‍ तेल कि बढ़ती क़ीमत से था परेशान,पेट्रोल पंप वर लागलेल्या आगीचा व्हिडिओ हरियाणा चा
चप्पल जुते से स्वागत होना सुरु हो गया है मामा जी को अब समझ जाना चाहिए!,चप्पल जुते से स्वागत होना सुरु हो गया है मामा जी को अब समझ जाना चाहिए…
आप सभी भारतवासियों की मांग को देखते हुए। मैं Jio सिम के नेट पैक को 28 दिन के बजाय 30 दिन करने की सोच रहा हूँ। आपकी क्या राय है। री ट्विट के साथ बताईये।,आप सभी भारतवासियों की मांग को देखते हुए। मैं Jio सिम के नेट पैक को 28 दिन के बजाय 30 दिन करने की सोच रहा हूँ। आपकी क्या राय है। री ट्विट के साथ बताईये।
क्‍या बात है’. पोस्ट मध्ये उपलोडक्स केलेल्या बातमीत हेडिंग मध्ये लिहले आहे: ’10 वीं 12 वीं में प्रमोट होने वाले स्‍टूडेंट्स को सरकारी नौकरी के लिए देना होगा स्‍पेशन एग्‍जाम।,उत्तर प्रदेश मध्ये सरकारी नौकरी साठी स्पेशल परीक्षा
बंगळुरूमध्ये मुसळधार पावसात मगर रस्त्यावर आली,बंगळुरूमध्ये मुसळधार पावसात मगर रस्त्यावर आली
"This photo has been shared hundreds of thousands of times on social networks this week, with a caption explaining that it shows an elephant helping a mother lion by carrying her tired baby in the crook of his trunk","मराठी अनुवाद: हा फोटो सोशल मीडियावर या आठवड्यात शेकडो हजारो वेळा शेअर करण्यात आला आहे, एका कॅप्शनसह हे स्पष्ट केले आहे की यात एक हत्ती तिच्या थकलेल्या बाळाला त्याच्या सोंडेत घेऊन आई सिंहाला मदत करताना दिसत आहे."
"बिहार जल रहा है,गोपालगंज में सरस्वती पूजा के दौरान शहादत मियाँ,सोनू मियाँ ने अंकित और हरिओम को मस्जिद के सामने चाकुओं से गोद डाला,अंकित की मौक़े पर ही मौत हो गई,हरिओम ज़िंदगी मौत से जूझ रहा,RJD/JDU सरकार ने बिहार को बर्बाद कर दिया,और अब न्याय माँगने वालों पर गोली बरसा रहे।",बिहारच्या गोपालगंज जिल्ह्यात सरस्वती पूजेदरम्यान एका हिंदू तरुणाची मुस्लिमांनी भोसकून हत्या केली.
कभी 90 के दशक में काला बच्चा हत्याकांड हुआ था. तब कानपुर के परेड पर भयानक दंगा हुआ था. एक एडीएम की हत्या कर दी गई थी. चमनगंज में एसपी जब लोगों से बात करने गए थे तब दंगाइयों ने उनके चेहरे पर थूक दिया था. जिसके बाद हालत य़ह हुई कि चमनगंज और बेकनगंज में समुदाय विशेष का ही थानेदार रखा जाता था. मगर अब हालात दूसरे हैं. योगी के राज एक एक पत्थर का हिसाब लिया जा रहा है. कल रात मे जमकर लाठी चलाई गई है. अभी और बहुत कुछ होना है,कानपुर मध्ये पोलिसांचे लाठीचार्ज
लाल सिंह चड्ढा का जालंधर में विरोध,लाल सिंह चड्ढा का जालंधर में विरोध
Bill gates Twitter accounts has been suspended,Bill gates Twitter accounts has been suspended
सिरदर्द का उपाय। अगली बार सिरदर्द होने पर दो एस्पिरिन के बजाये 10-12 बादाम खाएं।,सिरदर्द का उपाय। अगली बार सिरदर्द होने पर दो एस्पिरिन के बजाये 10-12 बादाम खाएं।
नयी दिल्ली में केजरीवाल की नई पहल। आपका दान में दिया गया एक तसला कोयला बदल सकता है दिल्ली वालों की जिंदगी। गुप्त दान महा दान।,नयी दिल्ली में केजरीवाल की नई पहल। आपका दान में दिया गया एक तसला कोयला बदल सकता है दिल्ली वालों की जिंदगी। गुप्त दान महा दान।
First Iftar party of independent india,मौलाना अबुल कलाम आजाद ने दी स्वतंत्र भारत की पहली इफ्तार पार्टी
हमारी सरकार बनते ही पाकिस्तान को 5 हजार करोड़ कर्ज देंगे बिना ब्याज 50 साल के लिए।,राहुल गांधी यांचे वक्तव्य
Aaditya Thackeray – आदित्य ठाकरे Removes “Minister,आदित्य ठाकरेंनी ट्विटर बायो मधून मिनिस्टर शब्द काढले.
परत येताना गाडी उचलून आणायची का?? एक शंका फक्त,"गडकरी यांनी म्हंटले,"
Tempel situated at zainpora shopian burnt by some unknown person…,काश्मीर च्या मंदिरात आग
आतंकी संगठन हमास समर्थक ईमान वाले बायकॉटियों इजरायल के विरोध में फेसबुक कब छोड़ रहे हो 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,फेसबुक फाउंडर मार्क झकरबर्ग सोबत इस्राएल चे पंतप्रधान नेतन्याहू
What is Asaduddin Owaisi discussing with Smriti Zubin Irani? Mr. Goebbels Amit Malviya should be able to tell,ग्रेटर हैदराबाद नगरपालिका निवडणुकीच्या वेळी असदुद्दीन ओवैसी आणि स्मृती इराणी यांच्यामध्ये सीक्रेट मीटिंग
"दिल का दौरा पड़ने से बहोस हुए स्वामी प्रसाद मौर्य, लखनऊ के मेदांता अस्पताल में कराया गया भर्ती।","दिल का दौरा पड़ने से बहोस हुए स्वामी प्रसाद मौर्य, लखनऊ के मेदांता अस्पताल में कराया गया भर्ती।"
अच्छा हुआ जो IPL 2008 में शुरू हुआ 1947 होता तो बाबा साहेब लिख देते टीम में 6 खिलाडी दलित होंगे।,"बाबासाहेब आंबेडकरांबद्दल ट्विट करत श्वेता सिंहने लिहिले की, जर 1947 मध्ये आयपीएल सुरू झाली असती तर सहा खेळाडू दलित झाले असते."
"माईनस १०डिग्री सेंटीग्रेड में, केदारनाथ यात्रा बंद होने के बावजूद भी केदार नाथ धाम के दरबार में तपस्या करते एक साधू महाराज..#हरहरमहादेव ..सत्य सनातन धर्म की जय।",केदारनाथ यात्रा बंद असतानाही उणे 10 डिग्री सेंटीग्रेड तापमानात एक साधू महाराज केदारनाथ धामच्या दरबारात तपश्चर्या करत आहेत.
DEKH LO ANDHBHAKTO KRISHI KANOON K PAHLE HI JIO KI PACKING START HO CHUKI THI SAMBHAL JAO ABHI BHI WAKT HAI KISHANO KA SATH DO WARNA ANARTH HO JAYEGA….,पोते मुकेश अंबानी यांच्या जियो कंपनी चे आहे
पेट्रोल डिजल पर मोदी जी 16 रुपये ले रहे हैं और गहलोत 40 रुपये फिर भी 16 रु लेने वाला मोदी इनका दुश्मन है और गहलोत इनका दोस्त।,पेट्रोल च्या वाढत्या किमतीला केंद्र सरकार जबाबदार
ভাৰতৰ নতুন পাঁচশ টকীয়া নোটত প্ৰভু শ্ৰী ৰাম চন্দ্ৰৰ ফটো।।হয়নে/নহয় নাজানো।সছাঁনে বাৰু কথাটো।। কোনোবাই জানিলে ক’বচোন!!জয় শ্ৰী ৰাম,भारताच्या नवीन पाचशे रुपयाच्या नोटेत प्रभू श्री राम चंद्राचा फोटो. माहित नाही हे खरं आहे का? कोणाला माहित असेल तर कृपया कळवा!! जय श्री राम
वाराणसी में स्मृति ईरानी का भयंकर विरोध हुआ लेकिन गोदी मीडिया ने किसी भी चैनल पे नहीं दिखाया।,वाराणसी में स्मृति ईरानी का भयंकर विरोध हुआ लेकिन गोदी मीडिया ने किसी भी चैनल पे नहीं दिखाया।
आधार कार्ड बने हुए उनके लिए जरूरी सुचना | GOV. OF INDIA | Mumbai Policeजिनके आधार कार्ड बने हुए उनके लिए जरूरी सुचना – सभी सावधान रहे और ये रिकॉर्डिंग जरूर सुने और जल्दी से जल्दी आगे पहुँचाया जाये प्लीज़ – धन्यवाद।,आधार कार्ड बने हुए उनके लिए जरूरी सुचना | GOV. OF INDIA | Mumbai Police जिनके आधार कार्ड बने हुए उनके लिए जरूरी सुचना – सभी सावधान रहे और ये रिकॉर्डिंग जरूर सुने और जल्दी से जल्दी आगे पहुँचाया जाये प्लीज़ – धन्यवाद।
"मैंने जिस दिन चिकन शॉप में मुर्गे को सामने कटते देखा, मेरी अंतरात्मा कांप गई. मैं उस रात सो नही सका. मेरी आँखों के सामने रात भर मेरे बच्चो का चेहरा घूम रहा था. वो जीव भी तो किसी का बच्चा था. मेरे स्वाद के लिए उसे कितनी भयंकर पीड़ा से गुजरना पड़ा. मैंने उसी दिन आजीवन शाकाहारी बनने का संकल्प ले लिया: सचिन रमेश तेंदुलकर।",मी ज्या दिवशी चिकन शॉप मध्ये माझ्या समोर मुर्गा कापताना बघितले त्यादिवशी मला विचित्र वाटले. मी रात्रभर झोपू शकलो नाही. माझ्या डोळ्यांसमोर माझ्या लहान मुलांचा चेहरा येत होता. ते जीव पण कोणाचे लेकरू असतील. माझ्या स्वादासाठी कोणाला भयंकर पीडा मधून जावे लागते. मी त्यादिवशी आजीवन शाकाहारी बनण्याचा निर्णय घेतला: सचिन रमेश तेंडुलकर.
बिहार में बीजेपी-जदयू की कुछ तैयारी ऐसी भी चल रही है…ध्यान रहे बिहारवासियो ये जहर ओर कहर दोनो है इसलिये बहकावे में नही आना है…!!,"बिहार मध्ये भाजप-जेडीयू ची अशी तयारी चालू आहे, लक्षात ठेवा या विषाच्या बेहकाव्यात नाही यायचा."
मुकेश खन्ना शक्तिमान कोरोंना से तीन दिन पूर्व संक्रमित हुए थे आज लीलावती अस्पताल में आख़री साँस ली भगवान उनके आत्मा को शांति दे।,मुकेश खन्ना यांचा मृत्यू
