post,normalized claim
"ਕਾਸ਼ ਕਿਸਾਨਾਂ ਦੀ ਤਰ੍ਹਾਂ ਪੜ੍ਹੇ-ਲਿਖੇ ਲੋਕ ਵੀ ਸੜਕਾਂ ਤੇ ਆ ਜਾਂਦੇ , ਨਾ ਏਅਰਪੋਰਟ ਵਿਕਦਾ, ਨਾ ਰੇਲਵੇ ਸਟੇਸ਼ਨ, ਨਾ LIC, BPCL ਵਿਕਦੀ , ਨਾ ਨੌਕਰੀ ਜਾਂਦੀ, ਨਾ ਬੇਰੁਜ਼ਗਾਰੀ ਵੱਧਦੀ, ਨਾ ਜੀਡੀਪੀ ਗਿਰਦੀ !","ਕਾਸ਼ ਕਿਸਾਨਾਂ ਦੀ ਤਰ੍ਹਾਂ ਪੜ੍ਹੇ-ਲਿਖੇ ਲੋਕ ਵੀ ਸੜਕਾਂ ਤੇ ਆ ਜਾਂਦੇ , ਨਾ ਏਅਰਪੋਰਟ ਵਿਕਦਾ, ਨਾ ਰੇਲਵੇ ਸਟੇਸ਼ਨ, ਨਾ LIC, BPCL ਵਿਕਦੀ , ਨਾ ਨੌਕਰੀ ਜਾਂਦੀ,  ਨਾ ਬੇਰੁਜ਼ਗਾਰੀ ਵੱਧਦੀ, ਨਾ ਜੀਡੀਪੀ ਗਿਰਦੀ !"
Indian students being deported back to india because of their FAKE IELTS exam result submissions,Indian students being deported back to india because of their FAKE IELTS exam result submissions
"ਦਿੱਲੀ ਦੇ ਮੁੱਖਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਚਾਹੁੰਦੇ ਕੀ ਹਨ? ਜਿਸ ਤਰ੍ਹਾਂ ਨਾਲ ਉਨ੍ਹਾਂ ਦੀ ਸਰਕਾਰ ਹਸਪਤਾਲਾਂ ਅਤੇ ਸਰਕਾਰੀ ਸਕੂਲਾਂ ਵਿੱਚ ਸੁਵਿਧਾਵਾਂ ਨੂੰ ਠੀਕ ਕਰ ਰਹੀਆਂ ਹਨ , ਆਉਣ ਵਾਲੇ ਦਿਨਾਂ ਵਿਚ ਪ੍ਰਾਈਵੇਟ ਹਸਪਤਾਲਾਂ ਅਤੇ ਸਕੂਲਾਂ ਵਿਚ ਤਾਂ ਤਾਲੇ ਲੱਗ ਜਾਣਗੇ। ਇਸ ਨਾਲ ਵੱਡੇ ਪੂੰਜੀਪਤੀਆਂ ਦਾ ਕਾਫੀ ਨੁਕਸਾਨ ਹੋਵੇਗਾ।’ ਇਸ ਪੋਸਟ ਨਾਲ ਦਿੱਤੇ ਡਿਸਕ੍ਰਿਪਸ਼ਨ ਵਿਚ ਲਿਖਿਆ ਹੈ “””ਇਹਨਾਂ ਦੀ ਘਟੀਆ ਸੋਚ ਨੂੰ ਵੇਖ ਲਵੋ।”” ਇਹਨਾਂ ਨੂੰ ਗਰੀਬਾਂ ਦਾ ਨਹੀਂ ਸਗੋਂ ਵੱਡੇ ਪੂੰਜੀਪਤੀਆਂ ਦਾ ਖ਼ਿਆਲ ਹੈ ,,,,, ,sp",ਮਨੋਜ ਤਿਵਾਰੀ ਦਾ ਗਲਤ ਟਵੀਟ
ਸ਼ੁਕਰ ਆ ਅੰਕਲ ਜੀ ਤੁਸੀਂ ਵੀ ਕੋਈ ਚੱਜ ਦੀ ਗੱਲ ਕੀਤੀ…ਸਾਨੂੰ ਤਾਂ ਪਤਾ ਹੀ ਕਰੋਨਾ ਕਾਲ ਚ ਲੱਗਾ ਸੀ ਕਿ WHO ਮੁਖੀ ਤੁਸੀ ਹੋ… ਹੁਣ ਰੱਬ ਦਾ ਵਾਸਤਾ! ਲੋਕਾਂ ਚ ਦੁਬਾਰਾ ਕਿਸੇ ਤਰਾਂ ਦਾ ਕੋਈ ਭਰਮ ਨਾ ਫੈਲਾਇਉ… ਕਾਰੋਬਾਰ ਠੱਪ ਕਰਵਾ ਦਿੱਤੇ ਅੱਧੀ ਦੁਨੀਆ ਦੇ…,ਕੋਵਿਡ-19 ਦੀ ਮਹਾਂਮਾਰੀ ਨੇੜੇ - ਤੇੜੇ ਨਹੀਂ ਹੈ : WHO ਮੁਖੀ
"ਸਰ, ਤੁਸੀਂ ਤਾਂ 56 ਦਸ ਰਹੇ ਸੀ, ਇਹ ਤਾਂ 36 ਹੀ ਨਿਕਲਿਆ।",ਪੀ ਐਮ ਮੋਦੀ ਦਾ ਸੀਨਾ ਨਾਪਦਾ ਹੋਇਆ ਆਰਮੀ ਅਫਸਰ
गुहला से पूर्व भाजपा विधायक कुलवंत बाजीगर कांग्रेस में शामिल टीम दिल्लू राम के साथ भाजपा पूर्व विधायक कुलवंत बाजीगर,गुहला से पूर्व भाजपा विधायक कुलवंत बाजीगर कांग्रेस में शामिल टीम दिल्लू राम के साथ भाजपा पूर्व विधायक कुलवंत बाजीगर
"ਜਦੋਂ ਤੁਸੀਂ ਬਾਈ ਰੋਡ ਆਪਣੇ ਸ਼ਹਿਰ , ਆਪਣੇ ਪ੍ਰਦੇਸ਼ ਤੋਂ ਬਾਹਰ ਨਿਕਲਦੇ ਹੋ, ਤਾਂ ਟੋਲ ਗੇਟਾਂ","ਕੁਝ ਐਮਰਜੈਂਸੀ ਸੇਵਾਵਾਂ ਜਿਵੇਂ ਕਿ ਮੈਡੀਕਲ ਐਮਰਜੈਂਸੀ ਆਦਿ ਦਾ ਜ਼ਿਕਰ ਕਰਦਿਆਂ ਇਹ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਟੋਲ ਰਸੀਦਾਂ ਸਿਰਫ ਟੋਲ ਗੇਟਾਂ ਨੂੰ ਪਾਰ ਕਰਨ ਲਈ ਨਹੀਂ, ਬਲਕਿ ਇਨ੍ਹਾਂ ਸੇਵਾਵਾਂ ਦੇ ਲਈ ਵੀ ਹੁੰਦੀਆਂ ਹਨ।"
IAF C17 airlifts from Kabul airport with 800 Indians. A record which previously stood at 670.,ਭਾਰਤੀ ਹਵਾਈ ਸੈਨਾ ਨੇ ਅਫਗਾਨਿਸਤਾਨ ਤੋਂ 800 ਭਾਰਤੀਆਂ ਨੂੰ ਸੁਰਕ੍ਸ਼ਿਤ ਕੱਢਿਆ
"ऐसी कपूत औलाद भगवान दुश्मन को भी ना दें, जो अपने बाप के अंतिम संस्कार में ना जूते उतारे ना जैकेट उतारे ना टोपी उतारे बल्कि जैकेट के ऊपर ही जनेऊ डालकर बड़ा नेता बनकर ही बाप का अंतिम संस्कार करता है। अपने बाप की अर्थी के सामने भी जो कपूत नेता बनकर खड़ा रहे ऐसे कपूत औलाद भगवान दुश्मन को भी न दे। मित्रो विधायक, सांसद, मंत्री, मुख्यमंत्री बनकर हजारों करोड़ की संपति अर्जित करके क्या फायदा?जब सगा बेटा अंतिम संस्कार भी ठीक से नहीं करे।",ਅਖਿਲੇਸ਼ ਯਾਦਵ ਨੇ ਆਪਣੇ ਪਿਤਾ ਦੇ ਅੰਤਿਮ ਸੰਸਕਾਰ ਵਿੱਚ ਪਾਈ ਸੀ ਜੁੱਤੇ।
एनआरसी के खिलाफ आज पंजाब में विरोध प्रदर्शन के दौरान कोई भी पुलिसकर्मी मौजूद नहीं था।,एनआरसी के खिलाफ आज पंजाब में विरोध प्रदर्शन के दौरान कोई भी पुलिसकर्मी मौजूद नहीं था
ਆਖਿਰ ਲੋਕਾਂ ਨੂੰ ਮੂਰਖ਼ ਕਦੋਂ ਤੱਕ ਬਣਾਉਣ ਦਾ ਕੰਮ ਚਲਦਾ ਰਹੇਗਾ,"ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਪ੍ਰਧਾਨਮੰਤਰੀ ਨੇ ਲੱਦਾਖ ਵਿਚ ਭਾਰਤ ਅਤੇ ਚੀਨ ਸੈਨਿਕਾਂ ਵਿਚਕਾਰ ਹੋਈ ਝੜਪ ਵਿਚ ਜਖਮੀ ਜਿਨ੍ਹਾਂ ਸੈਨਿਕਾਂ ਨਾਲ ਮੁਲਾਕਾਤ ਕੀਤੀ ਸੀ, ਉਨ੍ਹਾਂ ਵਿਚੋਂ ਦੀ ਇੱਕ ਭਾਰਤੀ ਜਨਤਾ ਪਾਰਟੀ ਦਾ ਨੇਤਾ ਤੇਜਿੰਦਰ ਪਾਲ ਸਿੰਘ ਬੱਗਾ ਹੈ, ਜਿਸਨੂੰ ਜਖਮੀ ਸੈਨਿਕ ਦੇ ਤੌਰ 'ਤੇ ਬਿਠਾਇਆ ਗਿਆ ਸੀ।"
रिक्सा चालक की बेटी उसी छेत्र की दरोगा बनी जिस छेत्र में उसके पिता रिक्सा चलाते हैं.. बधाई तो बनती है💐💐💐👌👌👌,ਰਿਕਸ਼ਾ ਚਾਲਕ ਦੀ ਧੀ ਹੈ ਇਹ ਮਹਿਲਾ ਇੰਸਪੈਕਟਰ
ਨਾਨਾਵਤੀ ਹਸਪਤਾਲ ਤੋਂ ਅਮਿਤਾਭ ਬਚਨ,"ਮਸ਼ਹੂਰ ਬਾਲੀਵੁੱਡ ਅਦਾਕਾਰ ਅਮਿਤਾਭ ਬੱਚਨ ਦੇ ਕੋਰੋਨਾ ਨਾਲ ਸੰਕ੍ਰਮਿਤ ਹੋਣ ਦੇ ਬਾਅਦ ਤੋਂ ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਉਨ੍ਹਾਂ ਦਾ ਇੱਕ ਵੀਡੀਓ ਵਾਇਰਲ ਹੋ ਰਿਹਾ ਹੈ, ਜਿਸਨੂੰ ਲੈ ਕੇ ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇਹ ਮੁੰਬਈ ਦੇ ਨਾਨਾਵਟੀ ਹਸਪਤਾਲ ਵਿਚ ਭਰਤੀ ਹੋਣ ਦੇ ਬਾਅਦ ਦਾ ਵੀਡੀਓ ਹੈ"
ਕਨਾਡਾ ਵਿਚ ਨਫਰਤ ਫੈਲਾਉਣ ਕਰਕੇ ਕਨਾਡਾ ਪੁਲਿਸ ਨੇ ਪਾਕਿਸਤਾਨੀ ਨਾਗਰਿਕ ਤਾਰੇਕ ਫਤਿਹ ਨੂੰ ਕੁੱਟਿਆ ਅਤੇ ਨਾਲ ਹੀ ਦੇਸ਼ ਤੋਂ ਬਾਹਰ ਸੁੱਟ ਦਿੱਤਾ,ਕਨਾਡਾ ਵਿਚ ਨਫਰਤ ਫੈਲਾਉਣ ਕਰਕੇ ਕਨਾਡਾ ਪੁਲਿਸ ਨੇ ਪਾਕਿਸਤਾਨੀ ਨਾਗਰਿਕ ਤਾਰੇਕ ਫਤਿਹ ਨੂੰ ਕੁੱਟਿਆ ਅਤੇ ਨਾਲ ਹੀ ਦੇਸ਼ ਤੋਂ ਬਾਹਰ ਸੁੱਟ ਦਿੱਤਾ
ਚੰਗੀ ਇੱਜਤ ਕਮਾ ਲਈ ਜਾਪਦੀ 3 ਮਹੀਨਿਆਂ ਚ😆😆😂 ਨਗਦੋ ਨਗਦ ਬੇਇੱਜ਼ਤੀ,ਚੰਗੀ ਇੱਜਤ ਕਮਾ ਲਈ ਜਾਪਦੀ 3 ਮਹੀਨਿਆਂ ਚ
"#Copied One of my #Beloved sister cries 😭 on the road, as she was stopped from proceeding towards her examination centre…Free_Kashmir…Stop_Barbarism…Born_To_Free…","ਦਾਅਵਾ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਕਿ ਇਹ ਕਸ਼ਮੀਰ ਦੀ ਘਟਨਾ ਹੈ, ਜਿਥੇ ਸੁਰੱਖਿਆ ਬਲਾਂ ਨੇ ਇੱਕ ਕੁੜੀ ਨੂੰ ਪ੍ਰੀਖਿਆ ਕੇਂਦਰ ਜਾਣ ਤੋਂ ਰੋਕ ਦਿੱਤਾ, ਜਿਸਦੇ ਕਰਕੇ ਉਹ ਸੜਕ 'ਤੇ ਬੈਠ ਕੇ ਰੋਣ ਲੱਗ ਪਈ।"
ਫਲੈਕਸ ਬੋਰਡਾਂ ਦੇ ਖਰਚੇ ਤੋਂ ਤੰਗ ਆਏ ਕਾਂਗਰਸੀ ਨੇ ਸਾਰੀ ਭੜਾਸ ਫਲੈਕਸਾਂ ਰਾਹੀ ਈ ਕੱਢ ਦਿੱਤੀ 🤣🤣🤣,ਫਲੈਕਸ ਬੋਰਡਾਂ ਦੇ ਖਰਚੇ ਤੋਂ ਤੰਗ ਆਏ ਕਾਂਗਰਸੀ ਨੇ ਸਾਰੀ ਭੜਾਸ ਫਲੈਕਸਾਂ ਰਾਹੀ ਈ ਕੱਢ ਦਿੱਤੀ
ਅੰਮ੍ਰਿਤਸਰ ਤੋਂ ਭਾਜਪਾ ਉਮੀਦਵਾਰ ਸੰਨੀ ਦਿਓਲ ਹੋਣਗੇ। ਯਾਦ ਰਹੇ ਅੰਮ੍ਰਿਤਸਰ ਤੋਂ ਲਾਹੌਰ ਦੀ ਦੂਰੀ ਸਿਰਫ਼ 23 ਕਿਲੋਮੀਟਰ ਹੈ।,ਅੰਮ੍ਰਿਤਸਰ ਤੋਂ ਭਾਜਪਾ ਉਮੀਦਵਾਰ ਸੰਨੀ ਦਿਓਲ ਹੋਣਗੇ
ਤਾਂ ਟਵਿੱਟਰ ਨੇ ਐਲੋਨ ਮਸਕ ਦੇ ਖਾਤੇ ਨੂੰ ਨਿਲੰਬਿਤ ਕਰ ਦਿੱਤਾ ਕਿਉਂਕਿ ਉਹ ਹੁਣ ਟਵਿੱਟਰ ਨੂੰ ਨਹੀਂ ਖਰੀਦ ਰਹੇ ਹਨ।,ਟਵਿੱਟਰ ਨੇ ਐਲੋਨ ਮਸਕ ਦੇ ਅਕਾਊਂਟ ਨੂੰ ਨਿਲੰਬਿਤ ਕਰ ਦਿੱਤਾ
ਆਸਟ੍ਰੇਲੀਆ ਵਿਚ ਪਰਦਾ ਕਰਨ ਤੇ ਗ੍ਰਿਫਤਾਰੀ…! ਪਰ ਸਲਾਮ ਹੈ ਇਸ ਕੁੜੀ ਨੂੰ ਜੋ ਕੁਫਰ ਦੇ ਅੱਗੇ ਡੱਟ ਕੇ ਖੜੀ ਰਹੀ….!! ਗ੍ਰਿਫਤਾਰੀ ਦੇਦੀ ਮਗਰ ਇਸਲਾਮ ਦੀ ਲਾਜ ਰੱਖ ਲਿੱਤੀ!!! ਸਲਾਮ ਤੁਹਾਡੀ Azmat ਨੂੰ ਇਸਲਾਮੀ ਭੈਣ। ਜੇਕਰ ਤੁਸੀਂ ਸਾਰਿਆਂ ਨੇ ਸ਼ੇਅਰ ਨ ਕਿੱਤੀ ਤਾਂ ਨ ਇਨਸਾਫੀ ਹੋਵੇਗੀ,ਇਹ ਮਹਿਲਾ ਪਰਦਾ ਕਰਨ ਤੇ ਗ੍ਰਿਫਤਾਰ ਹੋਈ
The kashmir files Movie ਨੂੰ ਦੇਖ ਕੇ ਰੋ ਪਏ ਯੋਗੀ ਆਦਿਤਿਆਨਾਥ।,ਕਸ਼ਮੀਰ ਫਾਈਲਜ਼ ਦੇਖ ਕੇ ਰੋ ਪਏ ਯੋਗੀ ਆਦਿਤਿਆਨਾਥ
ਪੰਜਾਬ ਨੂੰ California ਬਣਾਉਣ ਦੀਆਂ ਤਿਆਰੀਆਂ ਮੁਕੰਮਲ #sukhbeer_badal ਉੱਤਰੇ ground zero ਤੇ,ਪੰਜਾਬ ਨੂੰ California ਬਣਾਉਣ ਦੀਆਂ ਤਿਆਰੀਆਂ ਮੁਕੰਮਲ #sukhbeer_badal ਉੱਤਰੇ ground zero ਤੇ
"ਗੁਲਾਮ ਅਤੇ ਅੰਧਭਕਤੋਂ ਹੁਣ ਇਹ ਨਾ ਕਹਿਣਾ ਕਿ ਇਹ ਫਰਜ਼ੀ ਹੈ। ਜੋ ਸਾਹਮਣੇ ਲੜਦੇ ਹਨ, ਪਰ ਪਰਦੇ ਦੇ ਪਿੱਛੇ ਇੱਕ ਹੀ ਹਨ।",ਯੋਗੀ ਦੇ ਸਮਾਜਵਾਦੀ ਪਾਰਟੀ ਜੋਈਂ ਕਰਨ ਤੇ ਵਧਾਈ
The Ukrainian parliament banned the letters “Z,The Ukrainian parliament banned the letters “Z
"ਕਰਮ-ਕਾਂਡ ਨੂੰ ਢੋਂਗ ਦੱਸਣ ਵਾਲਿਆਂ ਦੇ ਮੂੰਹ ‘ਤੇ ਜ਼ੋਰਦਾਰ ਚੰਡ ਲਾਉਂਦੇ ਹੋਏ ਸਾਡੇ ਚੰਦ੍ਰਯਾਨ -2 ਦੇ ਵਿਗਿਆਨਕ ਗਰੁੱਪ ਨੇ ਲਾਂਚ ਤੋਂ ਪਹਿਲਾਂ ਕੀਤਾ ਪੂਜਾ ਪਾਠ। ਨਾਲ ਹੀ ISRO ਦੁਆਰਾ ਕਿਸੇ ਵੀ ਲਾਂਚ ਤੋਂ ਪਹਿਲਾਂ ਉਸਦੀ ਕਾਪੀ ਵੈਂਕਟੇਸ਼ਵਰ ਮੰਦਰ ਵਿਚ ਭਗਵਾਨ ਵੈਂਕਟੇਸ਼ਵਰ ਨੂੰ ਅਰਪਿਤ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਤਾਂ ਜੋ ਲਾਂਚ ਸਫਲ ਰਹੇ। ਸਿਰਫ ਭਾਰਤ ਹੀ ਨਹੀਂ, ਦੁਨੀਆ ਭਰ ਦੇ ਵਿਗਿਆਨਕ ਅਭਿਆਨ ਦੀ ਸਫਲਤਾ ਲਈ ਧਾਰਮਿਕ ਪੂਜਾ ਕਰਦੇ ਹਨ। ਹੁਣ ਕੋਈ ਬੇਵਕੂਫ ਹੀ ਕਹੇਗਾ ਕਿ ਵਿਗਿਆਨਕ ਪੂਜਾ ਪਾਠ ਨੂੰ ਨਹੀਂ ਮਨਦੇ ਹਨ, ਕਿਉਂ? 😃",ਇਹ ਤਸਵੀਰ ਚੰਦ੍ਰਯਾਨ 2 ਦੀ ਹੈ
इस छोटी सी खूबसूरत लड़की को जौनपुर में भिखारियों के एक समूह के साथ देखा गया। कृपया आगे बढ़ें जब तक कि वह सही माता-पिता तक न पहुंच जाए और उसकी पहचान हो जाए। वह उसका नाम जानती है और कहती है कि वह सोनल त्रिपाठी है। कृपया इस तस्वीर को अपने सभी समूहों पर पोस्ट करें। भिखारियों का कहना है कि वह मुंबई से आने वाली एक ट्रेन में मिली थी। हो सकता है कि वह बेहतर जीवन वापस पा सके। 🙏,ਬੱਚੀ ਦੀ ਇਹ ਤਸਵੀਰ ਭਾਰਤ ਦੀ
ਭਾਰਤ ਅਤੇ ਭਾਰਤੀ ਲੋਕਾਂ ਨੂੰ ਬਦਨਾਮ ਕਰਨ ਦੇ ਮਕਸਦ ਨਾਲ ਪਾਕਿਸਤਾਨੀ ਦੀ ਬੇਹੱਦ ਗੰਦੀ ਹਰਕਤ! ਇਥੇ ਦੇ ਅਮਨ ਚਾਹੁੰਦੇ ਲੋਕਾਂ ਤੇ ਵੀ ਸਵਾਲ ਉੱਠਦਾ ਹੈ ਕਿ ਕੀ ਅਜਿਹੇ ਲੋਕਾਂ ਤੋਂ ਭਾਈਚਾਰੇ ਦੀ ਉੱਮੀਦ ਲਾਏ ਬੈਠੇ ਹੋ?,ਕ੍ਰਿਕੇਟ ਸਟੇਡੀਅਮ ਵਿਚ ਗਲਤ ਹਰਕਤ ਕਰਦਾ ਵਿਅਕਤੀ ਪਾਕਿਸਤਾਨੀ
